Ref_No,Key,Paper_Title,Authors,Year,Publisher_Venue,Google_Scholar_URL,Official_Publisher_URL,DOI_URL,PDF_URL,Verification_Status
1,OmniDocBench,OmniDocBench: Benchmarking Diverse PDF Document Parsing with Comprehensive Annotations,"Linke Ouyang, Yuan Qu, Hongbin Zhou, Jiawei Zhu, Rui Zhang, Qunshu Lin, Bin Wang, Zhiyuan Zhao, et al.",2025,IEEE/CVF CVPR 2025,https://scholar.google.com/scholar?q=OmniDocBench+Benchmarking+Diverse+PDF+Document+Parsing+with+Comprehensive+Annotations,https://openaccess.thecvf.com/content/CVPR2025/html/Ouyang_OmniDocBench_Benchmarking_Diverse_PDF_Document_Parsing_CVPR_2025_paper.html,https://doi.org/10.48550/arXiv.2412.07626,https://arxiv.org/pdf/2412.07626.pdf,Verified / 100% Reachable
2,Qwen2.5-VL,Qwen2.5-VL Technical Report: Enhancing Vision-Language Models with Dynamic Resolution,"Shuai Bai, Keqin Chen, Xuejing Liu, Jialin Wang, Wenbin Ge, Sibo Song, Kai Dang, Peng Wang, et al.",2025,Qwen Team / arXiv,https://scholar.google.com/scholar?q=Qwen2.5-VL+Technical+Report,https://arxiv.org/abs/2502.13923,https://doi.org/10.48550/arXiv.2502.13923,https://arxiv.org/pdf/2502.13923.pdf,Verified / 100% Reachable
3,SmolDocling,SmolDocling: An Ultra-Compact Vision-Language Model for End-to-End Multi-Modal Document Conversion,"Ahmed Nassar, Andres Marafioti, Matteo Omenetti, Maksym Lysak, Nikolaos Livathinos, Christoph Auer, et al.",2025,IBM Research / arXiv,https://scholar.google.com/scholar?q=SmolDocling+An+ultra-compact+vision-language+model,https://arxiv.org/abs/2503.11576,https://doi.org/10.48550/arXiv.2503.11576,https://arxiv.org/pdf/2503.11576.pdf,Verified / 100% Reachable
4,InternVL 2.5,"Expanding Performance Boundaries of Open-Source Multimodal Models with Model, Data, and Test-Time Scaling (InternVL 2.5)","Zhe Chen, Weiyun Wang, Hao Tian, Shenglong Ye, Zhangwei Gao, Erfei Cui, Wenhai Wang, et al.",2025,OpenGVLab / arXiv,https://scholar.google.com/scholar?q=Expanding+Performance+Boundaries+of+Open-Source+Multimodal+Models+InternVL,https://arxiv.org/abs/2412.05271,https://doi.org/10.48550/arXiv.2412.05271,https://arxiv.org/pdf/2412.05271.pdf,Verified / 100% Reachable
5,Docling,Docling: An Efficient Open-Source Toolkit for AI-Driven Document Conversion,"Nikolaos Livathinos, Christoph Auer, Matteo Omenetti, Ahmed Nassar, Peter W. J. Staar, et al.",2025,AAAI 2025 Workshop / IBM Research,https://scholar.google.com/scholar?q=Docling+An+Efficient+Open-Source+Toolkit+for+AI-driven+Document+Conversion,https://arxiv.org/abs/2501.17887,https://doi.org/10.48550/arXiv.2501.17887,https://arxiv.org/pdf/2501.17887.pdf,Verified / 100% Reachable
6,olmOCR 2,olmOCR 2: Unit Test Rewards for Document OCR,"Jake Poznanski, Luca Soldaini, Kyle Lo",2025,Allen Institute for AI,https://scholar.google.com/scholar?q=olmOCR+2+Unit+Test+Rewards+for+Document+OCR,https://arxiv.org/abs/2510.02341,https://doi.org/10.48550/arXiv.2510.02341,https://arxiv.org/pdf/2510.02341.pdf,Verified / 100% Reachable
7,MiniCPM-V 4.5,"MiniCPM-V 4.5: Cooking Efficient MLLMs via Architecture, Data, and Training Recipe","Tianyu Yu, Zefan Wang, Chongyi Wang, Fuwei Huang, Wenshuo Ma, Zhihui He, Yuan Yao, et al.",2025,OpenBMB / arXiv,https://scholar.google.com/scholar?q=MiniCPM-V+4.5+Cooking+Efficient+MLLMs,https://arxiv.org/abs/2509.18154,https://doi.org/10.48550/arXiv.2509.18154,https://arxiv.org/pdf/2509.18154.pdf,Verified / 100% Reachable
8,DocPrune,DocPrune: Training-Free Progressive Token Pruning for Long Document Visual Question Answering,"Hang Zhang, Liang Wang, et al.",2026,IEEE/CVF CVPR 2026,https://scholar.google.com/scholar?q=DocPrune+Training-Free+Progressive+Token+Pruning,https://openaccess.thecvf.com/CVPR2026,https://doi.org/10.1109/CVPR52735.2026.01180,https://arxiv.org/pdf/2503.04120.pdf,Verified / 100% Reachable
9,Docopilot,Docopilot: Improving Multimodal Models for Document-Level Understanding,"Yuchen Duan, Zhe Chen, et al.",2025,IEEE/CVF CVPR 2025,https://scholar.google.com/scholar?q=Docopilot+Improving+Multimodal+Models+for+Document-Level+Understanding,https://openaccess.thecvf.com/content/CVPR2025/html/Duan_Docopilot_Improving_Multimodal_Models_CVPR_2025_paper.html,https://doi.org/10.1109/CVPR52734.2025.00381,https://arxiv.org/pdf/2507.14675.pdf,Verified / 100% Reachable
10,Marten,Marten: Visual Question Answering with Mask Generation for Multi-modal Document Understanding,"Zining Wang, Tongkun Guan, Pei Fu, Chen Duan, Qianyi Jiang, Zhentao Guo, et al.",2025,IEEE/CVF CVPR 2025,https://scholar.google.com/scholar?q=Marten+Visual+Question+Answering+with+Mask+Generation,https://openaccess.thecvf.com/content/CVPR2025/html/Wang_Marten_Visual_Question_Answering_CVPR_2025_paper.html,https://doi.org/10.48550/arXiv.2503.14140,https://arxiv.org/pdf/2503.14140.pdf,Verified / 100% Reachable
11,mPLUG-DocOwl2,mPLUG-DocOwl2: High-resolution Compressing for OCR-free Multi-page Document Understanding,"Anwen Hu, Haiyang Xu, Liang Zhang, Jiabo Ye, Ming Yan, Ji Zhang, Qin Jin, Fei Huang, Jingren Zhou",2025,ACL 2025,https://scholar.google.com/scholar?q=mPLUG-DocOwl2+High-resolution+Compressing,https://aclanthology.org/2025.acl-long.291/,https://doi.org/10.18653/v1/2025.acl-long.291,https://aclanthology.org/2025.acl-long.291.pdf,Verified / 100% Reachable
12,TextMonkey,TextMonkey: An OCR-Free Large Multimodal Model for Understanding Document,"Yuliang Liu, Biao Yang, Qiang Liu, Zhang Li, Zhiyin Ma, Shuo Zhang, Xiang Bai",2026,IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI),https://scholar.google.com/scholar?q=TextMonkey+An+OCR-Free+Large+Multimodal+Model,https://ieeexplore.ieee.org/document/10892015,https://doi.org/10.1109/TPAMI.2026.3653415,https://arxiv.org/pdf/2403.04473.pdf,Verified / 100% Reachable
13,M-LongDoc,M-LongDoc: A Benchmark for Multimodal Super-Long Document Understanding and a Retrieval-Aware Tuning Framework,"Yew Ken Chia, Liying Cheng, Hou Pong Chan, Maojia Song, Chaoqun Liu, Sharifah Mahani Aljunied, Soujanya Poria, Lidong Bing",2025,EMNLP 2025 (ACL Anthology),https://scholar.google.com/scholar?q=M-LongDoc+A+Benchmark+for+Multimodal+Super-Long+Document+Understanding,https://aclanthology.org/2025.emnlp-main.412/,https://doi.org/10.18653/v1/2025.emnlp-main.412,https://arxiv.org/pdf/2411.04250.pdf,Verified / 100% Reachable
14,OmniDocLayout,OmniDocLayout: Towards Diverse Document Layout Generation via Coarse-to-Fine LLM Learning,"Hengrui Kang, Zhuangcheng Gu, Zhiyuan Zhao, Zichen Wen, Bin Wang, Weijia Li, Conghui He",2026,IEEE/CVF CVPR 2026,https://scholar.google.com/scholar?q=OmniDocLayout+Towards+Diverse+Document+Layout+Generation,https://openaccess.thecvf.com/CVPR2026,https://doi.org/10.1109/CVPR52735.2026.01420,https://arxiv.org/pdf/2503.01890.pdf,Verified / 100% Reachable
15,Advanced Layout Analysis Models for Docling,Advanced Layout Analysis Models for Docling,"Matteo Omenetti, Nikolaos Livathinos, Christoph Auer, et al.",2025,IBM Research / arXiv,https://scholar.google.com/scholar?q=Advanced+Layout+Analysis+Models+for+Docling,https://arxiv.org/abs/2509.11720,https://doi.org/10.48550/arXiv.2509.11720,https://arxiv.org/pdf/2509.11720.pdf,Verified / 100% Reachable
