observation_id,specimen_id,document_type,quality_profile,field_name,pass_a_raw_match,pass_b_canonical_match,pass_a_cer,pass_b_cer,pass_a_wer,pass_b_wer,error_category
1,DOC-0001,certificate,clean,field_1,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
2,DOC-0001,certificate,clean,field_2,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
3,DOC-0001,certificate,clean,field_3,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
4,DOC-0001,certificate,clean,field_4,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
5,DOC-0001,certificate,clean,field_5,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
6,DOC-0001,certificate,clean,field_6,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
7,DOC-0001,certificate,clean,field_7,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
8,DOC-0001,certificate,clean,field_8,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
9,DOC-0001,certificate,clean,field_9,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
10,DOC-0001,certificate,clean,field_10,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
11,DOC-0001,certificate,clean,field_11,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
12,DOC-0001,certificate,clean,field_12,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
13,DOC-0001,certificate,clean,field_13,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
14,DOC-0001,certificate,clean,field_14,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
15,DOC-0001,certificate,clean,field_15,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
16,DOC-0001,certificate,clean,field_16,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
17,DOC-0002,marksheet,scanner_copy,field_1,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
18,DOC-0002,marksheet,scanner_copy,field_2,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
19,DOC-0002,marksheet,scanner_copy,field_3,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
20,DOC-0002,marksheet,scanner_copy,field_4,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
21,DOC-0002,marksheet,scanner_copy,field_5,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
22,DOC-0002,marksheet,scanner_copy,field_6,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
23,DOC-0002,marksheet,scanner_copy,field_7,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
24,DOC-0002,marksheet,scanner_copy,field_8,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
25,DOC-0002,marksheet,scanner_copy,field_9,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
26,DOC-0002,marksheet,scanner_copy,field_10,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
27,DOC-0002,marksheet,scanner_copy,field_11,1,1,0.0,0.0,0.0,0.0,EXACT_MATCH
